protocol_type,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_same_src_port_rate,attack_probability,severity_percentage,severity_level,attack_type,prediction
6,0,96,0,0,0,0,0,0,0,0.9927194,99.27,Critical,DoS,1
6,0,0,96,0,0,0,0,0,0,0.4253135,42.53,Medium,Normal,0
6,0,400,0,0,0,0,0,0,0,0.9967706,99.68,Critical,DoS,1
6,0,0,240,0,0,0,0,0,0,0.8346546,83.47,Critical,DoS,1
6,0,0,32,0,0,0,0,0,0,0.4253135,42.53,Medium,Normal,0
6,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
6,0,0,32,0,0,0,0,0,0,0.4253135,42.53,Medium,Normal,0
6,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
17,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
6,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
6,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
6,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
6,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
17,0,0,161,0,0,0,0,0,0,0.73480517,73.48,High,DoS,1
6,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
6,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
6,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
6,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
6,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
6,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
6,0,0,2880,0,0,0,0,0,0,0.8807804,88.08,Critical,DoS,1
6,0,4000,0,0,0,0,0,0,0,0.97034174,97.03,Critical,DoS,1
6,0,0,4048,0,0,0,0,0,0,0.90276134,90.28,Critical,DoS,1
6,0,3504,0,0,0,0,0,0,0,0.9896572,98.97,Critical,DoS,1
2,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
2,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
2,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
2,0,0,16,0,0,0,0,0,0,0.411996,41.2,Medium,Normal,0
17,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
17,0,0,0,0,0,0,0,0,0,0.10313237,10.31,Low,Normal,0
