protocol_type,src_bytes,dst_bytes,duration,packet_count,byte_count,avg_packet_size,payload_entropy,flag,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,prediction,label,byte_count_norm,packet_count_norm,duration_norm,payload_entropy_norm,severity_percent
17,0,0,41.424495,4,333,83.25,0.0,0,0,0,0,0,0,0,0,Normal,0.04000573558932607,0.21428571427040816,0.9993232502619785,0.0,0.0
17,0,0,41.452548,4,1823,455.75,0.0,0,0,0,0,0,0,0,0,Normal,0.2536564381989886,0.21428571427040816,0.9999999999758761,0.0,0.0
6,0,528,20.295133,4,744,186.0,6.752973128507897,0,0,0,0,0,0,0,1,Attack,0.09893891597360209,0.21428571427040816,0.48959916769194506,0.9652156930502281,29.83
6,160,0,20.221746,4,392,98.0,5.912492001110319,0,0,0,0,0,0,0,1,Attack,0.04846572985373552,0.21428571427040816,0.4878287819487519,0.8450840771769189,26.57
6,64,0,20.035425,4,280,70.0,4.9375,0,0,0,0,0,0,0,1,Attack,0.032406079724687065,0.21428571427040816,0.4833339798440537,0.7057265583238769,24.45
6,0,64,20.003331,2,172,86.0,5.0,0,0,0,0,0,0,0,1,Attack,0.01691998852881891,0.07142857142346938,0.48255974516976474,0.7146598058975968,19.62
2,0,16,0.0,1,54,54.0,4.0,0,0,0,0,0,0,0,1,Attack,0.0,0.0,0.0,0.5717278447180775,5.72
2,0,16,0.0,1,54,54.0,3.875,0,0,0,0,0,0,0,1,Attack,0.0,0.0,0.0,0.5538613495706375,5.54
2,0,16,0.0,1,54,54.0,4.0,0,0,0,0,0,0,0,1,Attack,0.0,0.0,0.0,0.5717278447180775,5.72
6,0,16,0.0,1,70,70.0,4.0,0,0,0,0,0,0,0,1,Attack,0.002294235732721208,0.0,0.0,0.5717278447180775,5.81
6,0,0,0.0,1,70,70.0,0.0,0,0,0,0,0,0,0,0,Normal,0.002294235732721208,0.0,0.0,0.0,0.0
2,0,16,0.0,1,54,54.0,3.875,0,0,0,0,0,0,0,1,Attack,0.0,0.0,0.0,0.5538613495706375,5.54
6,0,2880,1.474363,14,3660,261.42857142857144,6.867783251297205,0,0,0,0,0,0,0,1,Attack,0.5170633782620423,0.928571428505102,0.03556748791327454,0.9816257290637653,59.07
17,0,0,0.812305,6,1047,174.5,0.0,0,0,0,0,0,0,0,0,Normal,0.14238600516200997,0.35714285711734695,0.019596020972713284,0.0,0.0
6,4752,0,1.244622,13,5530,425.38461538461536,6.870001299149153,0,0,0,0,0,0,0,1,Attack,0.7852021795238334,0.8571428570816326,0.030025223056734045,0.9819427589932342,67.54
17,0,161,0.0,1,218,218.0,6.802845138930429,0,0,0,0,0,0,0,1,Attack,0.023515916260392383,0.0,0.0,0.9723439973078861,10.66
6,0,16,0.0,1,70,70.0,4.0,0,0,0,0,0,0,0,1,Attack,0.002294235732721208,0.0,0.0,0.5717278447180775,5.81
6,0,0,0.0,1,70,70.0,0.0,0,0,0,0,0,0,0,0,Normal,0.002294235732721208,0.0,0.0,0.0,0.0
6,0,4528,0.363112,15,5374,358.26666666666665,6.48675142481397,0,0,0,0,0,0,0,1,Attack,0.7628333811298017,0.9999999999285715,0.008759702780906022,0.9271641028327022,69.96
6,6320,0,0.283377,12,7028,585.6666666666666,6.9963358202375066,0,0,0,0,0,0,0,1,Attack,0.9999999999998566,0.7857142856581633,0.0068361780798894154,0.999999999857068,73.71
17,0,0,0.0,1,85,85.0,0.0,0,0,0,0,0,0,0,0,Normal,0.00444508173214734,0.0,0.0,0.0,0.0
6,0,0,0.0,1,66,66.0,0.0,0,0,0,0,0,0,0,0,Normal,0.0017206767995409061,0.0,0.0,0.0,0.0
17,0,0,0.0,1,444,444.0,0.0,0,0,0,0,0,0,0,0,Normal,0.055921995985079444,0.0,0.0,0.0,0.0
