time,src_ip,dst_ip,protocol,severity,status
18:11:37,10.153.0.36,45.112.149.2,UDP,0,Normal
18:11:37,45.112.149.2,10.153.0.36,UDP,0,Normal
18:11:37,10.153.0.36,157.240.242.60,TCP,30,Attack
18:11:37,157.240.242.60,10.153.0.36,TCP,30,Attack
18:11:37,104.18.39.21,10.153.0.36,TCP,14,Attack
18:11:37,10.153.0.36,104.18.39.21,TCP,0,Normal
18:11:37,0.0.0.0,224.0.0.1,Other,20,Attack
18:11:37,10.153.0.36,224.0.0.252,Other,20,Attack
18:11:37,10.153.0.36,224.0.0.251,Other,20,Attack
18:11:37,10.153.0.36,142.250.70.42,TCP,0,Normal
18:11:37,142.250.70.42,10.153.0.36,TCP,0,Normal
18:11:37,10.153.0.36,239.255.255.250,Other,20,Attack
18:11:37,10.153.0.36,20.189.173.8,TCP,16,Attack
18:11:37,10.153.0.36,224.0.0.251,UDP,25,Attack
18:11:37,20.189.173.8,10.153.0.36,TCP,45,Attack
